pointid,POINT,POINT_X,POINT_Y
1,africa-geoglows_1,9.624996783,37.25003225
2,africa-geoglows_2,7.374999718,37.00003241
3,africa-geoglows_3,9.124997435,37.00003241
4,africa-geoglows_4,9.374997109,37.00003241
5,africa-geoglows_5,9.624996783,37.00003241
6,africa-geoglows_6,9.874996457,37.00003241
7,africa-geoglows_7,3.125005262,36.75003256
8,africa-geoglows_8,3.375004936,36.75003256
9,africa-geoglows_9,3.875004284,36.75003256
10,africa-geoglows_10,4.125003958,36.75003256
11,africa-geoglows_11,4.375003631,36.75003256
12,africa-geoglows_12,4.625003305,36.75003256
13,africa-geoglows_13,4.875002979,36.75003256
14,africa-geoglows_14,5.875001675,36.75003256
15,africa-geoglows_15,6.125001349,36.75003256
16,africa-geoglows_16,6.375001023,36.75003256
17,africa-geoglows_17,6.625000696,36.75003256
18,africa-geoglows_18,6.87500037,36.75003256
19,africa-geoglows_19,7.125000044,36.75003256
20,africa-geoglows_20,7.374999718,36.75003256
21,africa-geoglows_21,7.624999392,36.75003256
22,africa-geoglows_22,7.874999066,36.75003256
23,africa-geoglows_23,8.12499874,36.75003256
24,africa-geoglows_24,8.374998414,36.75003256
25,africa-geoglows_25,8.624998088,36.75003256
26,africa-geoglows_26,8.874997761,36.75003256
27,africa-geoglows_27,9.124997435,36.75003256
28,africa-geoglows_28,9.374997109,36.75003256
29,africa-geoglows_29,9.624996783,36.75003256
30,africa-geoglows_30,9.874996457,36.75003256
31,africa-geoglows_31,10.12499613,36.75003256
32,africa-geoglows_32,10.62499548,36.75003256
33,africa-geoglows_33,10.87499515,36.75003256
34,africa-geoglows_34,1.375007545,36.50003271
35,africa-geoglows_35,1.875006893,36.50003271
36,africa-geoglows_36,2.125006567,36.50003271
37,africa-geoglows_37,2.37500624,36.50003271
38,africa-geoglows_38,2.625005914,36.50003271
39,africa-geoglows_39,2.875005588,36.50003271
40,africa-geoglows_40,3.125005262,36.50003271
41,africa-geoglows_41,3.375004936,36.50003271
42,africa-geoglows_42,3.62500461,36.50003271
43,africa-geoglows_43,3.875004284,36.50003271
44,africa-geoglows_44,4.125003958,36.50003271
45,africa-geoglows_45,4.375003631,36.50003271
46,africa-geoglows_46,4.625003305,36.50003271
47,africa-geoglows_47,4.875002979,36.50003271
48,africa-geoglows_48,5.125002653,36.50003271
49,africa-geoglows_49,5.375002327,36.50003271
50,africa-geoglows_50,5.625002001,36.50003271
51,africa-geoglows_51,5.875001675,36.50003271
52,africa-geoglows_52,6.125001349,36.50003271
53,africa-geoglows_53,6.375001023,36.50003271
54,africa-geoglows_54,6.625000696,36.50003271
55,africa-geoglows_55,6.87500037,36.50003271
56,africa-geoglows_56,7.125000044,36.50003271
57,africa-geoglows_57,7.374999718,36.50003271
58,africa-geoglows_58,7.624999392,36.50003271
59,africa-geoglows_59,7.874999066,36.50003271
60,africa-geoglows_60,8.12499874,36.50003271
61,africa-geoglows_61,8.374998414,36.50003271
62,africa-geoglows_62,8.624998088,36.50003271
63,africa-geoglows_63,8.874997761,36.50003271
64,africa-geoglows_64,9.124997435,36.50003271
65,africa-geoglows_65,9.374997109,36.50003271
66,africa-geoglows_66,9.624996783,36.50003271
67,africa-geoglows_67,9.874996457,36.50003271
68,africa-geoglows_68,10.12499613,36.50003271
69,africa-geoglows_69,10.3749958,36.50003271
70,africa-geoglows_70,10.62499548,36.50003271
71,africa-geoglows_71,0.875008197,36.25003286
72,africa-geoglows_72,1.125007871,36.25003286
73,africa-geoglows_73,1.375007545,36.25003286
74,africa-geoglows_74,1.625007219,36.25003286
75,africa-geoglows_75,1.875006893,36.25003286
