pointid,POINT,POINT_X,POINT_Y
1,australia-geoglows_1,142.3748236,-10.99993831
2,australia-geoglows_2,142.6248233,-10.99993831
3,australia-geoglows_3,142.874823,-10.99993831
4,australia-geoglows_4,132.124837,-11.24993816
5,australia-geoglows_5,132.3748367,-11.24993816
6,australia-geoglows_6,132.6248363,-11.24993816
7,australia-geoglows_7,142.3748236,-11.24993816
8,australia-geoglows_8,142.6248233,-11.24993816
9,australia-geoglows_9,142.874823,-11.24993816
10,australia-geoglows_10,130.3748393,-11.49993801
11,australia-geoglows_11,130.6248389,-11.49993801
12,australia-geoglows_12,130.8748386,-11.49993801
13,australia-geoglows_13,131.1248383,-11.49993801
14,australia-geoglows_14,131.374838,-11.49993801
15,australia-geoglows_15,132.874836,-11.49993801
16,australia-geoglows_16,142.1248239,-11.49993801
17,australia-geoglows_17,142.3748236,-11.49993801
18,australia-geoglows_18,142.6248233,-11.49993801
19,australia-geoglows_19,130.1248396,-11.74993786
20,australia-geoglows_20,130.6248389,-11.74993786
21,australia-geoglows_21,130.8748386,-11.74993786
22,australia-geoglows_22,131.1248383,-11.74993786
23,australia-geoglows_23,132.874836,-11.74993786
24,australia-geoglows_24,133.1248357,-11.74993786
25,australia-geoglows_25,142.1248239,-11.74993786
26,australia-geoglows_26,142.3748236,-11.74993786
27,australia-geoglows_27,142.6248233,-11.74993786
28,australia-geoglows_28,132.874836,-11.9999377
29,australia-geoglows_29,133.1248357,-11.9999377
30,australia-geoglows_30,133.3748354,-11.9999377
31,australia-geoglows_31,133.624835,-11.9999377
32,australia-geoglows_32,133.8748347,-11.9999377
33,australia-geoglows_33,134.1248344,-11.9999377
34,australia-geoglows_34,141.8748243,-11.9999377
35,australia-geoglows_35,142.1248239,-11.9999377
36,australia-geoglows_36,142.3748236,-11.9999377
37,australia-geoglows_37,142.6248233,-11.9999377
38,australia-geoglows_38,142.874823,-11.9999377
39,australia-geoglows_39,143.1248226,-11.9999377
40,australia-geoglows_40,131.1248383,-12.24993755
41,australia-geoglows_41,131.8748373,-12.24993755
42,australia-geoglows_42,132.6248363,-12.24993755
43,australia-geoglows_43,132.874836,-12.24993755
44,australia-geoglows_44,133.1248357,-12.24993755
45,australia-geoglows_45,133.3748354,-12.24993755
46,australia-geoglows_46,133.624835,-12.24993755
47,australia-geoglows_47,133.8748347,-12.24993755
48,australia-geoglows_48,134.1248344,-12.24993755
49,australia-geoglows_49,134.3748341,-12.24993755
50,australia-geoglows_50,134.6248337,-12.24993755
51,australia-geoglows_51,134.8748334,-12.24993755
52,australia-geoglows_52,135.1248331,-12.24993755
53,australia-geoglows_53,135.6248324,-12.24993755
54,australia-geoglows_54,136.1248318,-12.24993755
55,australia-geoglows_55,136.6248311,-12.24993755
56,australia-geoglows_56,141.8748243,-12.24993755
57,australia-geoglows_57,142.1248239,-12.24993755
58,australia-geoglows_58,142.3748236,-12.24993755
59,australia-geoglows_59,142.6248233,-12.24993755
60,australia-geoglows_60,142.874823,-12.24993755
61,australia-geoglows_61,130.8748386,-12.4999374
62,australia-geoglows_62,131.1248383,-12.4999374
63,australia-geoglows_63,131.374838,-12.4999374
64,australia-geoglows_64,131.6248376,-12.4999374
65,australia-geoglows_65,131.8748373,-12.4999374
66,australia-geoglows_66,132.124837,-12.4999374
67,australia-geoglows_67,132.3748367,-12.4999374
68,australia-geoglows_68,132.6248363,-12.4999374
69,australia-geoglows_69,132.874836,-12.4999374
70,australia-geoglows_70,133.1248357,-12.4999374
71,australia-geoglows_71,133.3748354,-12.4999374
72,australia-geoglows_72,133.624835,-12.4999374
73,australia-geoglows_73,133.8748347,-12.4999374
74,australia-geoglows_74,134.1248344,-12.4999374
75,australia-geoglows_75,134.3748341,-12.4999374
76,australia-geoglows_76,134.6248337,-12.4999374
77,australia-geoglows_77,134.8748334,-12.4999374
78,australia-geoglows_78,135.1248331,-12.4999374
79,australia-geoglows_79,135.3748327,-12.4999374
80,australia-geoglows_80,135.6248324,-12.4999374
81,australia-geoglows_81,135.8748321,-12.4999374
82,australia-geoglows_82,136.3748314,-12.4999374
83,australia-geoglows_83,136.6248311,-12.4999374
84,australia-geoglows_84,141.8748243,-12.4999374
85,australia-geoglows_85,142.1248239,-12.4999374
86,australia-geoglows_86,142.3748236,-12.4999374
87,australia-geoglows_87,142.6248233,-12.4999374
88,australia-geoglows_88,142.874823,-12.4999374
89,australia-geoglows_89,143.1248226,-12.4999374
90,australia-geoglows_90,130.6248389,-12.74993725
91,australia-geoglows_91,130.8748386,-12.74993725
92,australia-geoglows_92,131.1248383,-12.74993725
93,australia-geoglows_93,131.374838,-12.74993725
94,australia-geoglows_94,131.6248376,-12.74993725
95,australia-geoglows_95,131.8748373,-12.74993725
96,australia-geoglows_96,132.124837,-12.74993725
97,australia-geoglows_97,132.3748367,-12.74993725
98,australia-geoglows_98,132.6248363,-12.74993725
99,australia-geoglows_99,132.874836,-12.74993725
100,australia-geoglows_100,133.1248357,-12.74993725
101,australia-geoglows_101,133.3748354,-12.74993725
102,australia-geoglows_102,133.624835,-12.74993725
103,australia-geoglows_103,133.8748347,-12.74993725
104,australia-geoglows_104,134.1248344,-12.74993725
105,australia-geoglows_105,134.3748341,-12.74993725
106,australia-geoglows_106,134.6248337,-12.74993725
107,australia-geoglows_107,134.8748334,-12.74993725
108,australia-geoglows_108,135.1248331,-12.74993725
109,australia-geoglows_109,135.3748327,-12.74993725
110,australia-geoglows_110,135.6248324,-12.74993725
111,australia-geoglows_111,135.8748321,-12.74993725
112,australia-geoglows_112,136.1248318,-12.74993725
113,australia-geoglows_113,136.3748314,-12.74993725
114,australia-geoglows_114,136.6248311,-12.74993725
115,australia-geoglows_115,141.8748243,-12.74993725
116,australia-geoglows_116,142.1248239,-12.74993725
117,australia-geoglows_117,142.3748236,-12.74993725
118,australia-geoglows_118,142.6248233,-12.74993725
119,australia-geoglows_119,142.874823,-12.74993725
120,australia-geoglows_120,143.1248226,-12.74993725
121,australia-geoglows_121,130.3748393,-12.99993709
122,australia-geoglows_122,130.6248389,-12.99993709
123,australia-geoglows_123,130.8748386,-12.99993709
124,australia-geoglows_124,131.1248383,-12.99993709
125,australia-geoglows_125,131.374838,-12.99993709
126,australia-geoglows_126,131.6248376,-12.99993709
127,australia-geoglows_127,131.8748373,-12.99993709
128,australia-geoglows_128,132.124837,-12.99993709
129,australia-geoglows_129,132.3748367,-12.99993709
130,australia-geoglows_130,132.6248363,-12.99993709
131,australia-geoglows_131,132.874836,-12.99993709
132,australia-geoglows_132,133.1248357,-12.99993709
133,australia-geoglows_133,133.3748354,-12.99993709
134,australia-geoglows_134,133.624835,-12.99993709
135,australia-geoglows_135,133.8748347,-12.99993709
136,australia-geoglows_136,134.1248344,-12.99993709
137,australia-geoglows_137,134.3748341,-12.99993709
138,australia-geoglows_138,134.6248337,-12.99993709
139,australia-geoglows_139,134.8748334,-12.99993709
140,australia-geoglows_140,135.1248331,-12.99993709
141,australia-geoglows_141,135.3748327,-12.99993709
142,australia-geoglows_142,135.6248324,-12.99993709
143,australia-geoglows_143,135.8748321,-12.99993709
144,australia-geoglows_144,136.1248318,-12.99993709
145,australia-geoglows_145,136.3748314,-12.99993709
146,australia-geoglows_146,141.6248246,-12.99993709
147,australia-geoglows_147,141.8748243,-12.99993709
148,australia-geoglows_148,142.1248239,-12.99993709
149,australia-geoglows_149,142.3748236,-12.99993709
150,australia-geoglows_150,142.6248233,-12.99993709
151,australia-geoglows_151,142.874823,-12.99993709
152,australia-geoglows_152,143.1248226,-12.99993709
153,australia-geoglows_153,143.3748223,-12.99993709
154,australia-geoglows_154,130.3748393,-13.24993694
155,australia-geoglows_155,130.6248389,-13.24993694
156,australia-geoglows_156,130.8748386,-13.24993694
157,australia-geoglows_157,131.1248383,-13.24993694
158,australia-geoglows_158,131.374838,-13.24993694
159,australia-geoglows_159,131.6248376,-13.24993694
160,australia-geoglows_160,131.8748373,-13.24993694
161,australia-geoglows_161,132.124837,-13.24993694
162,australia-geoglows_162,132.3748367,-13.24993694
163,australia-geoglows_163,132.6248363,-13.24993694
164,australia-geoglows_164,132.874836,-13.24993694
165,australia-geoglows_165,133.1248357,-13.24993694
166,australia-geoglows_166,133.3748354,-13.24993694
167,australia-geoglows_167,133.624835,-13.24993694
168,australia-geoglows_168,133.8748347,-13.24993694
169,australia-geoglows_169,134.1248344,-13.24993694
170,australia-geoglows_170,134.3748341,-13.24993694
171,australia-geoglows_171,134.6248337,-13.24993694
172,australia-geoglows_172,134.8748334,-13.24993694
173,australia-geoglows_173,135.1248331,-13.24993694
174,australia-geoglows_174,135.3748327,-13.24993694
175,australia-geoglows_175,135.6248324,-13.24993694
176,australia-geoglows_176,135.8748321,-13.24993694
177,australia-geoglows_177,141.8748243,-13.24993694
178,australia-geoglows_178,142.1248239,-13.24993694
179,australia-geoglows_179,142.3748236,-13.24993694
180,australia-geoglows_180,142.6248233,-13.24993694
181,australia-geoglows_181,142.874823,-13.24993694
182,australia-geoglows_182,143.1248226,-13.24993694
183,australia-geoglows_183,143.3748223,-13.24993694
184,australia-geoglows_184,130.1248396,-13.49993679
185,australia-geoglows_185,130.3748393,-13.49993679
186,australia-geoglows_186,130.6248389,-13.49993679
187,australia-geoglows_187,130.8748386,-13.49993679
188,australia-geoglows_188,131.1248383,-13.49993679
189,australia-geoglows_189,131.374838,-13.49993679
190,australia-geoglows_190,131.6248376,-13.49993679
191,australia-geoglows_191,131.8748373,-13.49993679
192,australia-geoglows_192,132.124837,-13.49993679
193,australia-geoglows_193,132.3748367,-13.49993679
194,australia-geoglows_194,132.6248363,-13.49993679
195,australia-geoglows_195,132.874836,-13.49993679
196,australia-geoglows_196,133.1248357,-13.49993679
197,australia-geoglows_197,133.3748354,-13.49993679
198,australia-geoglows_198,133.624835,-13.49993679
199,australia-geoglows_199,133.8748347,-13.49993679
200,australia-geoglows_200,134.1248344,-13.49993679
201,australia-geoglows_201,134.3748341,-13.49993679
202,australia-geoglows_202,134.6248337,-13.49993679
203,australia-geoglows_203,134.8748334,-13.49993679
204,australia-geoglows_204,135.1248331,-13.49993679
205,australia-geoglows_205,135.3748327,-13.49993679
206,australia-geoglows_206,135.6248324,-13.49993679
207,australia-geoglows_207,141.6248246,-13.49993679
208,australia-geoglows_208,141.8748243,-13.49993679
209,australia-geoglows_209,142.1248239,-13.49993679
210,australia-geoglows_210,142.3748236,-13.49993679
211,australia-geoglows_211,142.6248233,-13.49993679
212,australia-geoglows_212,142.874823,-13.49993679
213,australia-geoglows_213,143.1248226,-13.49993679
214,australia-geoglows_214,143.3748223,-13.49993679
215,australia-geoglows_215,129.8748399,-13.74993664
216,australia-geoglows_216,130.1248396,-13.74993664
217,australia-geoglows_217,130.3748393,-13.74993664
218,australia-geoglows_218,130.6248389,-13.74993664
219,australia-geoglows_219,130.8748386,-13.74993664
220,australia-geoglows_220,131.1248383,-13.74993664
221,australia-geoglows_221,131.374838,-13.74993664
222,australia-geoglows_222,131.6248376,-13.74993664
223,australia-geoglows_223,131.8748373,-13.74993664
224,australia-geoglows_224,132.124837,-13.74993664
225,australia-geoglows_225,132.3748367,-13.74993664
226,australia-geoglows_226,132.6248363,-13.74993664
227,australia-geoglows_227,132.874836,-13.74993664
228,australia-geoglows_228,133.1248357,-13.74993664
229,australia-geoglows_229,133.3748354,-13.74993664
230,australia-geoglows_230,133.624835,-13.74993664
231,australia-geoglows_231,133.8748347,-13.74993664
232,australia-geoglows_232,134.1248344,-13.74993664
233,australia-geoglows_233,134.3748341,-13.74993664
234,australia-geoglows_234,134.6248337,-13.74993664
235,australia-geoglows_235,134.8748334,-13.74993664
236,australia-geoglows_236,135.1248331,-13.74993664
237,australia-geoglows_237,135.3748327,-13.74993664
238,australia-geoglows_238,135.6248324,-13.74993664
239,australia-geoglows_239,135.8748321,-13.74993664
240,australia-geoglows_240,136.1248318,-13.74993664
241,australia-geoglows_241,141.6248246,-13.74993664
242,australia-geoglows_242,141.8748243,-13.74993664
243,australia-geoglows_243,142.1248239,-13.74993664
244,australia-geoglows_244,142.3748236,-13.74993664
245,australia-geoglows_245,142.6248233,-13.74993664
246,australia-geoglows_246,142.874823,-13.74993664
247,australia-geoglows_247,143.1248226,-13.74993664
248,australia-geoglows_248,143.3748223,-13.74993664
249,australia-geoglows_249,126.8748438,-13.99993648
250,australia-geoglows_250,127.1248435,-13.99993648
251,australia-geoglows_251,127.3748432,-13.99993648
252,australia-geoglows_252,129.8748399,-13.99993648
253,australia-geoglows_253,130.1248396,-13.99993648
254,australia-geoglows_254,130.3748393,-13.99993648
255,australia-geoglows_255,130.6248389,-13.99993648
256,australia-geoglows_256,130.8748386,-13.99993648
257,australia-geoglows_257,131.1248383,-13.99993648
258,australia-geoglows_258,131.374838,-13.99993648
259,australia-geoglows_259,131.6248376,-13.99993648
260,australia-geoglows_260,131.8748373,-13.99993648
261,australia-geoglows_261,132.124837,-13.99993648
262,australia-geoglows_262,132.3748367,-13.99993648
263,australia-geoglows_263,132.6248363,-13.99993648
264,australia-geoglows_264,132.874836,-13.99993648
265,australia-geoglows_265,133.1248357,-13.99993648
266,australia-geoglows_266,133.3748354,-13.99993648
267,australia-geoglows_267,133.624835,-13.99993648
268,australia-geoglows_268,133.8748347,-13.99993648
269,australia-geoglows_269,134.1248344,-13.99993648
270,australia-geoglows_270,134.3748341,-13.99993648
271,australia-geoglows_271,134.6248337,-13.99993648
272,australia-geoglows_272,134.8748334,-13.99993648
273,australia-geoglows_273,135.1248331,-13.99993648
274,australia-geoglows_274,135.3748327,-13.99993648
275,australia-geoglows_275,135.6248324,-13.99993648
276,australia-geoglows_276,135.8748321,-13.99993648
277,australia-geoglows_277,136.6248311,-13.99993648
278,australia-geoglows_278,141.6248246,-13.99993648
279,australia-geoglows_279,141.8748243,-13.99993648
280,australia-geoglows_280,142.1248239,-13.99993648
281,australia-geoglows_281,142.3748236,-13.99993648
282,australia-geoglows_282,142.6248233,-13.99993648
283,australia-geoglows_283,142.874823,-13.99993648
