pointid,POINT,POINT_X,POINT_Y
1,central_america-geoglows_1,-121.8748317,43.25002859
2,central_america-geoglows_2,-121.624832,43.25002859
3,central_america-geoglows_3,-110.124847,43.25002859
4,central_america-geoglows_4,-109.8748473,43.25002859
5,central_america-geoglows_5,-121.8748317,43.00002875
6,central_america-geoglows_6,-121.624832,43.00002875
7,central_america-geoglows_7,-121.3748323,43.00002875
8,central_america-geoglows_8,-110.3748467,43.00002875
9,central_america-geoglows_9,-110.124847,43.00002875
10,central_america-geoglows_10,-109.8748473,43.00002875
11,central_america-geoglows_11,-109.6248477,43.00002875
12,central_america-geoglows_12,-122.1248314,42.7500289
13,central_america-geoglows_13,-121.8748317,42.7500289
14,central_america-geoglows_14,-121.624832,42.7500289
15,central_america-geoglows_15,-121.3748323,42.7500289
16,central_america-geoglows_16,-121.1248327,42.7500289
17,central_america-geoglows_17,-120.874833,42.7500289
18,central_america-geoglows_18,-110.6248464,42.7500289
19,central_america-geoglows_19,-110.3748467,42.7500289
20,central_america-geoglows_20,-110.124847,42.7500289
21,central_america-geoglows_21,-109.8748473,42.7500289
22,central_america-geoglows_22,-109.6248477,42.7500289
23,central_america-geoglows_23,-109.374848,42.7500289
24,central_america-geoglows_24,-122.1248314,42.50002905
25,central_america-geoglows_25,-121.8748317,42.50002905
26,central_america-geoglows_26,-121.624832,42.50002905
27,central_america-geoglows_27,-121.3748323,42.50002905
28,central_america-geoglows_28,-121.1248327,42.50002905
29,central_america-geoglows_29,-120.874833,42.50002905
30,central_america-geoglows_30,-110.6248464,42.50002905
31,central_america-geoglows_31,-110.3748467,42.50002905
32,central_america-geoglows_32,-110.124847,42.50002905
33,central_america-geoglows_33,-109.8748473,42.50002905
34,central_america-geoglows_34,-109.6248477,42.50002905
35,central_america-geoglows_35,-109.374848,42.50002905
36,central_america-geoglows_36,-122.374831,42.2500292
37,central_america-geoglows_37,-122.1248314,42.2500292
38,central_america-geoglows_38,-121.8748317,42.2500292
39,central_america-geoglows_39,-121.624832,42.2500292
40,central_america-geoglows_40,-121.3748323,42.2500292
41,central_america-geoglows_41,-121.1248327,42.2500292
42,central_america-geoglows_42,-120.874833,42.2500292
43,central_america-geoglows_43,-120.6248333,42.2500292
44,central_america-geoglows_44,-120.3748336,42.2500292
45,central_america-geoglows_45,-110.6248464,42.2500292
46,central_america-geoglows_46,-110.3748467,42.2500292
47,central_america-geoglows_47,-110.124847,42.2500292
48,central_america-geoglows_48,-109.8748473,42.2500292
49,central_america-geoglows_49,-109.6248477,42.2500292
50,central_america-geoglows_50,-109.374848,42.2500292
51,central_america-geoglows_51,-109.1248483,42.2500292
52,central_america-geoglows_52,-108.8748486,42.2500292
53,central_america-geoglows_53,-123.8748291,42.00002936
54,central_america-geoglows_54,-123.6248294,42.00002936
55,central_america-geoglows_55,-123.3748297,42.00002936
56,central_america-geoglows_56,-122.8748304,42.00002936
57,central_america-geoglows_57,-122.6248307,42.00002936
58,central_america-geoglows_58,-122.374831,42.00002936
59,central_america-geoglows_59,-122.1248314,42.00002936
60,central_america-geoglows_60,-121.8748317,42.00002936
61,central_america-geoglows_61,-121.624832,42.00002936
62,central_america-geoglows_62,-121.3748323,42.00002936
63,central_america-geoglows_63,-121.1248327,42.00002936
64,central_america-geoglows_64,-120.874833,42.00002936
65,central_america-geoglows_65,-120.6248333,42.00002936
66,central_america-geoglows_66,-120.3748336,42.00002936
67,central_america-geoglows_67,-110.6248464,42.00002936
68,central_america-geoglows_68,-110.3748467,42.00002936
69,central_america-geoglows_69,-110.124847,42.00002936
70,central_america-geoglows_70,-109.8748473,42.00002936
71,central_america-geoglows_71,-109.6248477,42.00002936
72,central_america-geoglows_72,-109.374848,42.00002936
73,central_america-geoglows_73,-109.1248483,42.00002936
74,central_america-geoglows_74,-124.1248287,41.75002951
75,central_america-geoglows_75,-123.8748291,41.75002951
76,central_america-geoglows_76,-123.6248294,41.75002951
77,central_america-geoglows_77,-123.3748297,41.75002951
78,central_america-geoglows_78,-123.1248301,41.75002951
79,central_america-geoglows_79,-122.8748304,41.75002951
80,central_america-geoglows_80,-122.6248307,41.75002951
81,central_america-geoglows_81,-122.374831,41.75002951
82,central_america-geoglows_82,-122.1248314,41.75002951
83,central_america-geoglows_83,-121.8748317,41.75002951
84,central_america-geoglows_84,-121.624832,41.75002951
85,central_america-geoglows_85,-121.3748323,41.75002951
86,central_america-geoglows_86,-121.1248327,41.75002951
87,central_america-geoglows_87,-120.874833,41.75002951
88,central_america-geoglows_88,-120.6248333,41.75002951
89,central_america-geoglows_89,-120.3748336,41.75002951
90,central_america-geoglows_90,-120.124834,41.75002951
91,central_america-geoglows_91,-110.3748467,41.75002951
92,central_america-geoglows_92,-110.124847,41.75002951
93,central_america-geoglows_93,-109.8748473,41.75002951
94,central_america-geoglows_94,-109.6248477,41.75002951
95,central_america-geoglows_95,-109.374848,41.75002951
96,central_america-geoglows_96,-109.1248483,41.75002951
97,central_america-geoglows_97,-108.8748486,41.75002951
98,central_america-geoglows_98,-108.624849,41.75002951
99,central_america-geoglows_99,-123.8748291,41.50002966
100,central_america-geoglows_100,-123.6248294,41.50002966
101,central_america-geoglows_101,-123.3748297,41.50002966
102,central_america-geoglows_102,-123.1248301,41.50002966
103,central_america-geoglows_103,-122.8748304,41.50002966
104,central_america-geoglows_104,-122.6248307,41.50002966
105,central_america-geoglows_105,-122.374831,41.50002966
106,central_america-geoglows_106,-122.1248314,41.50002966
107,central_america-geoglows_107,-121.8748317,41.50002966
108,central_america-geoglows_108,-121.624832,41.50002966
109,central_america-geoglows_109,-121.3748323,41.50002966
110,central_america-geoglows_110,-121.1248327,41.50002966
111,central_america-geoglows_111,-120.874833,41.50002966
112,central_america-geoglows_112,-120.6248333,41.50002966
113,central_america-geoglows_113,-120.3748336,41.50002966
114,central_america-geoglows_114,-120.124834,41.50002966
115,central_america-geoglows_115,-119.8748343,41.50002966
116,central_america-geoglows_116,-110.6248464,41.50002966
117,central_america-geoglows_117,-110.3748467,41.50002966
118,central_america-geoglows_118,-110.124847,41.50002966
119,central_america-geoglows_119,-109.8748473,41.50002966
120,central_america-geoglows_120,-109.6248477,41.50002966
121,central_america-geoglows_121,-109.374848,41.50002966
122,central_america-geoglows_122,-109.1248483,41.50002966
123,central_america-geoglows_123,-108.8748486,41.50002966
124,central_america-geoglows_124,-108.624849,41.50002966
125,central_america-geoglows_125,-108.3748493,41.50002966
126,central_america-geoglows_126,-108.1248496,41.50002966
127,central_america-geoglows_127,-107.8748499,41.50002966
128,central_america-geoglows_128,-107.6248503,41.50002966
129,central_america-geoglows_129,-107.3748506,41.50002966
130,central_america-geoglows_130,-123.8748291,41.25002981
131,central_america-geoglows_131,-123.6248294,41.25002981
132,central_america-geoglows_132,-123.3748297,41.25002981
133,central_america-geoglows_133,-123.1248301,41.25002981
134,central_america-geoglows_134,-122.8748304,41.25002981
135,central_america-geoglows_135,-122.6248307,41.25002981
136,central_america-geoglows_136,-122.374831,41.25002981
137,central_america-geoglows_137,-122.1248314,41.25002981
138,central_america-geoglows_138,-121.8748317,41.25002981
139,central_america-geoglows_139,-121.624832,41.25002981
140,central_america-geoglows_140,-121.3748323,41.25002981
141,central_america-geoglows_141,-121.1248327,41.25002981
142,central_america-geoglows_142,-120.874833,41.25002981
143,central_america-geoglows_143,-120.6248333,41.25002981
144,central_america-geoglows_144,-120.3748336,41.25002981
145,central_america-geoglows_145,-120.124834,41.25002981
146,central_america-geoglows_146,-110.6248464,41.25002981
147,central_america-geoglows_147,-110.3748467,41.25002981
