pointid,POINT,POINT_X,POINT_Y
1,central_asia-geoglows_1,92.37488884,51.00002387
2,central_asia-geoglows_2,92.62488851,51.00002387
3,central_asia-geoglows_3,93.12488786,51.00002387
4,central_asia-geoglows_4,93.37488753,51.00002387
5,central_asia-geoglows_5,93.62488721,51.00002387
6,central_asia-geoglows_6,94.37488623,51.00002387
7,central_asia-geoglows_7,91.62488982,50.75002402
8,central_asia-geoglows_8,91.87488949,50.75002402
9,central_asia-geoglows_9,92.12488917,50.75002402
10,central_asia-geoglows_10,92.37488884,50.75002402
11,central_asia-geoglows_11,92.62488851,50.75002402
12,central_asia-geoglows_12,92.87488819,50.75002402
13,central_asia-geoglows_13,93.12488786,50.75002402
14,central_asia-geoglows_14,93.37488753,50.75002402
15,central_asia-geoglows_15,93.62488721,50.75002402
16,central_asia-geoglows_16,93.87488688,50.75002402
17,central_asia-geoglows_17,94.12488656,50.75002402
18,central_asia-geoglows_18,94.37488623,50.75002402
19,central_asia-geoglows_19,94.6248859,50.75002402
20,central_asia-geoglows_20,94.87488558,50.75002402
21,central_asia-geoglows_21,95.12488525,50.75002402
22,central_asia-geoglows_22,89.8748921,50.50002417
23,central_asia-geoglows_23,90.12489177,50.50002417
24,central_asia-geoglows_24,91.12489047,50.50002417
25,central_asia-geoglows_25,91.37489014,50.50002417
26,central_asia-geoglows_26,91.62488982,50.50002417
27,central_asia-geoglows_27,91.87488949,50.50002417
28,central_asia-geoglows_28,92.12488917,50.50002417
29,central_asia-geoglows_29,92.37488884,50.50002417
30,central_asia-geoglows_30,92.62488851,50.50002417
31,central_asia-geoglows_31,92.87488819,50.50002417
32,central_asia-geoglows_32,93.12488786,50.50002417
33,central_asia-geoglows_33,93.37488753,50.50002417
34,central_asia-geoglows_34,93.62488721,50.50002417
35,central_asia-geoglows_35,93.87488688,50.50002417
36,central_asia-geoglows_36,94.12488656,50.50002417
37,central_asia-geoglows_37,94.37488623,50.50002417
38,central_asia-geoglows_38,94.6248859,50.50002417
39,central_asia-geoglows_39,94.87488558,50.50002417
40,central_asia-geoglows_40,95.12488525,50.50002417
41,central_asia-geoglows_41,95.6248846,50.50002417
42,central_asia-geoglows_42,95.87488427,50.50002417
43,central_asia-geoglows_43,96.12488395,50.50002417
44,central_asia-geoglows_44,96.37488362,50.50002417
45,central_asia-geoglows_45,89.37489275,50.25002432
46,central_asia-geoglows_46,89.62489243,50.25002432
47,central_asia-geoglows_47,89.8748921,50.25002432
48,central_asia-geoglows_48,90.12489177,50.25002432
49,central_asia-geoglows_49,90.37489145,50.25002432
50,central_asia-geoglows_50,90.62489112,50.25002432
51,central_asia-geoglows_51,90.8748908,50.25002432
52,central_asia-geoglows_52,91.12489047,50.25002432
53,central_asia-geoglows_53,91.37489014,50.25002432
54,central_asia-geoglows_54,91.62488982,50.25002432
55,central_asia-geoglows_55,91.87488949,50.25002432
56,central_asia-geoglows_56,92.12488917,50.25002432
57,central_asia-geoglows_57,92.37488884,50.25002432
58,central_asia-geoglows_58,92.62488851,50.25002432
59,central_asia-geoglows_59,92.87488819,50.25002432
60,central_asia-geoglows_60,93.12488786,50.25002432
61,central_asia-geoglows_61,93.37488753,50.25002432
62,central_asia-geoglows_62,93.62488721,50.25002432
63,central_asia-geoglows_63,93.87488688,50.25002432
64,central_asia-geoglows_64,94.12488656,50.25002432
65,central_asia-geoglows_65,94.37488623,50.25002432
66,central_asia-geoglows_66,94.6248859,50.25002432
67,central_asia-geoglows_67,94.87488558,50.25002432
68,central_asia-geoglows_68,95.12488525,50.25002432
69,central_asia-geoglows_69,95.37488493,50.25002432
70,central_asia-geoglows_70,95.6248846,50.25002432
71,central_asia-geoglows_71,95.87488427,50.25002432
72,central_asia-geoglows_72,96.12488395,50.25002432
73,central_asia-geoglows_73,96.37488362,50.25002432
74,central_asia-geoglows_74,75.37491102,50.00002448
75,central_asia-geoglows_75,75.62491069,50.00002448
76,central_asia-geoglows_76,75.87491036,50.00002448
77,central_asia-geoglows_77,89.62489243,50.00002448
78,central_asia-geoglows_78,89.8748921,50.00002448
79,central_asia-geoglows_79,90.12489177,50.00002448
80,central_asia-geoglows_80,90.37489145,50.00002448
81,central_asia-geoglows_81,90.62489112,50.00002448
82,central_asia-geoglows_82,90.8748908,50.00002448
83,central_asia-geoglows_83,91.12489047,50.00002448
84,central_asia-geoglows_84,91.37489014,50.00002448
85,central_asia-geoglows_85,91.62488982,50.00002448
86,central_asia-geoglows_86,91.87488949,50.00002448
87,central_asia-geoglows_87,92.12488917,50.00002448
88,central_asia-geoglows_88,92.37488884,50.00002448
89,central_asia-geoglows_89,92.62488851,50.00002448
90,central_asia-geoglows_90,92.87488819,50.00002448
91,central_asia-geoglows_91,93.12488786,50.00002448
92,central_asia-geoglows_92,93.37488753,50.00002448
93,central_asia-geoglows_93,93.62488721,50.00002448
94,central_asia-geoglows_94,93.87488688,50.00002448
95,central_asia-geoglows_95,94.12488656,50.00002448
96,central_asia-geoglows_96,94.37488623,50.00002448
97,central_asia-geoglows_97,94.6248859,50.00002448
98,central_asia-geoglows_98,94.87488558,50.00002448
99,central_asia-geoglows_99,95.12488525,50.00002448
100,central_asia-geoglows_100,95.37488493,50.00002448
101,central_asia-geoglows_101,95.6248846,50.00002448
102,central_asia-geoglows_102,95.87488427,50.00002448
103,central_asia-geoglows_103,96.12488395,50.00002448
104,central_asia-geoglows_104,96.37488362,50.00002448
105,central_asia-geoglows_105,96.6248833,50.00002448
106,central_asia-geoglows_106,96.87488297,50.00002448
107,central_asia-geoglows_107,97.12488264,50.00002448
108,central_asia-geoglows_108,97.62488199,50.00002448
109,central_asia-geoglows_109,75.12491134,49.75002463
110,central_asia-geoglows_110,75.37491102,49.75002463
111,central_asia-geoglows_111,75.62491069,49.75002463
112,central_asia-geoglows_112,75.87491036,49.75002463
113,central_asia-geoglows_113,76.12491004,49.75002463
114,central_asia-geoglows_114,76.37490971,49.75002463
115,central_asia-geoglows_115,89.8748921,49.75002463
116,central_asia-geoglows_116,90.12489177,49.75002463
117,central_asia-geoglows_117,90.37489145,49.75002463
118,central_asia-geoglows_118,90.62489112,49.75002463
119,central_asia-geoglows_119,90.8748908,49.75002463
120,central_asia-geoglows_120,91.12489047,49.75002463
121,central_asia-geoglows_121,91.37489014,49.75002463
122,central_asia-geoglows_122,91.62488982,49.75002463
123,central_asia-geoglows_123,91.87488949,49.75002463
124,central_asia-geoglows_124,92.12488917,49.75002463
125,central_asia-geoglows_125,92.37488884,49.75002463
126,central_asia-geoglows_126,92.62488851,49.75002463
127,central_asia-geoglows_127,92.87488819,49.75002463
128,central_asia-geoglows_128,93.12488786,49.75002463
129,central_asia-geoglows_129,93.37488753,49.75002463
130,central_asia-geoglows_130,93.62488721,49.75002463
131,central_asia-geoglows_131,93.87488688,49.75002463
132,central_asia-geoglows_132,94.12488656,49.75002463
133,central_asia-geoglows_133,94.37488623,49.75002463
134,central_asia-geoglows_134,94.6248859,49.75002463
135,central_asia-geoglows_135,94.87488558,49.75002463
136,central_asia-geoglows_136,95.12488525,49.75002463
137,central_asia-geoglows_137,95.37488493,49.75002463
138,central_asia-geoglows_138,95.6248846,49.75002463
139,central_asia-geoglows_139,95.87488427,49.75002463
140,central_asia-geoglows_140,96.12488395,49.75002463
141,central_asia-geoglows_141,96.37488362,49.75002463
