pointid,POINT,POINT_X,POINT_Y
1,east_asia-geoglows_1,124.6248468,55.75002097
2,east_asia-geoglows_2,124.8748464,55.75002097
3,east_asia-geoglows_3,125.1248461,55.75002097
4,east_asia-geoglows_4,125.3748458,55.75002097
5,east_asia-geoglows_5,125.6248455,55.75002097
6,east_asia-geoglows_6,125.8748451,55.75002097
7,east_asia-geoglows_7,129.6248402,55.75002097
8,east_asia-geoglows_8,130.1248396,55.75002097
9,east_asia-geoglows_9,130.3748393,55.75002097
10,east_asia-geoglows_10,130.6248389,55.75002097
11,east_asia-geoglows_11,130.8748386,55.75002097
12,east_asia-geoglows_12,124.3748471,55.50002112
13,east_asia-geoglows_13,124.6248468,55.50002112
14,east_asia-geoglows_14,124.8748464,55.50002112
15,east_asia-geoglows_15,125.1248461,55.50002112
16,east_asia-geoglows_16,125.3748458,55.50002112
17,east_asia-geoglows_17,125.6248455,55.50002112
18,east_asia-geoglows_18,125.8748451,55.50002112
19,east_asia-geoglows_19,126.1248448,55.50002112
20,east_asia-geoglows_20,126.3748445,55.50002112
21,east_asia-geoglows_21,126.6248442,55.50002112
22,east_asia-geoglows_22,126.8748438,55.50002112
23,east_asia-geoglows_23,127.1248435,55.50002112
24,east_asia-geoglows_24,127.3748432,55.50002112
25,east_asia-geoglows_25,127.6248429,55.50002112
26,east_asia-geoglows_26,127.8748425,55.50002112
27,east_asia-geoglows_27,128.1248422,55.50002112
28,east_asia-geoglows_28,128.3748419,55.50002112
29,east_asia-geoglows_29,128.6248416,55.50002112
30,east_asia-geoglows_30,128.8748412,55.50002112
31,east_asia-geoglows_31,129.1248409,55.50002112
32,east_asia-geoglows_32,129.3748406,55.50002112
33,east_asia-geoglows_33,129.6248402,55.50002112
34,east_asia-geoglows_34,129.8748399,55.50002112
35,east_asia-geoglows_35,130.1248396,55.50002112
36,east_asia-geoglows_36,130.3748393,55.50002112
37,east_asia-geoglows_37,130.6248389,55.50002112
38,east_asia-geoglows_38,130.8748386,55.50002112
39,east_asia-geoglows_39,131.1248383,55.50002112
40,east_asia-geoglows_40,124.1248474,55.25002127
41,east_asia-geoglows_41,124.3748471,55.25002127
42,east_asia-geoglows_42,124.6248468,55.25002127
43,east_asia-geoglows_43,124.8748464,55.25002127
44,east_asia-geoglows_44,125.1248461,55.25002127
45,east_asia-geoglows_45,125.3748458,55.25002127
46,east_asia-geoglows_46,125.6248455,55.25002127
47,east_asia-geoglows_47,125.8748451,55.25002127
48,east_asia-geoglows_48,126.1248448,55.25002127
49,east_asia-geoglows_49,126.3748445,55.25002127
50,east_asia-geoglows_50,126.6248442,55.25002127
51,east_asia-geoglows_51,126.8748438,55.25002127
52,east_asia-geoglows_52,127.1248435,55.25002127
53,east_asia-geoglows_53,127.3748432,55.25002127
54,east_asia-geoglows_54,127.6248429,55.25002127
55,east_asia-geoglows_55,127.8748425,55.25002127
56,east_asia-geoglows_56,128.1248422,55.25002127
57,east_asia-geoglows_57,128.3748419,55.25002127
58,east_asia-geoglows_58,128.6248416,55.25002127
59,east_asia-geoglows_59,128.8748412,55.25002127
60,east_asia-geoglows_60,129.1248409,55.25002127
61,east_asia-geoglows_61,129.3748406,55.25002127
62,east_asia-geoglows_62,129.6248402,55.25002127
63,east_asia-geoglows_63,129.8748399,55.25002127
64,east_asia-geoglows_64,130.1248396,55.25002127
65,east_asia-geoglows_65,130.3748393,55.25002127
66,east_asia-geoglows_66,130.6248389,55.25002127
67,east_asia-geoglows_67,130.8748386,55.25002127
68,east_asia-geoglows_68,131.1248383,55.25002127
69,east_asia-geoglows_69,131.374838,55.25002127
70,east_asia-geoglows_70,123.3748484,55.00002143
71,east_asia-geoglows_71,123.6248481,55.00002143
72,east_asia-geoglows_72,123.8748477,55.00002143
73,east_asia-geoglows_73,124.1248474,55.00002143
74,east_asia-geoglows_74,124.3748471,55.00002143
75,east_asia-geoglows_75,124.6248468,55.00002143
76,east_asia-geoglows_76,124.8748464,55.00002143
77,east_asia-geoglows_77,125.1248461,55.00002143
78,east_asia-geoglows_78,125.3748458,55.00002143
79,east_asia-geoglows_79,125.6248455,55.00002143
80,east_asia-geoglows_80,125.8748451,55.00002143
81,east_asia-geoglows_81,126.1248448,55.00002143
82,east_asia-geoglows_82,126.3748445,55.00002143
83,east_asia-geoglows_83,126.6248442,55.00002143
84,east_asia-geoglows_84,126.8748438,55.00002143
85,east_asia-geoglows_85,127.1248435,55.00002143
86,east_asia-geoglows_86,127.3748432,55.00002143
87,east_asia-geoglows_87,127.6248429,55.00002143
88,east_asia-geoglows_88,127.8748425,55.00002143
89,east_asia-geoglows_89,128.1248422,55.00002143
90,east_asia-geoglows_90,128.3748419,55.00002143
91,east_asia-geoglows_91,128.6248416,55.00002143
92,east_asia-geoglows_92,128.8748412,55.00002143
93,east_asia-geoglows_93,129.1248409,55.00002143
94,east_asia-geoglows_94,129.3748406,55.00002143
95,east_asia-geoglows_95,129.6248402,55.00002143
96,east_asia-geoglows_96,129.8748399,55.00002143
97,east_asia-geoglows_97,130.1248396,55.00002143
98,east_asia-geoglows_98,130.3748393,55.00002143
99,east_asia-geoglows_99,130.6248389,55.00002143
100,east_asia-geoglows_100,130.8748386,55.00002143
101,east_asia-geoglows_101,131.1248383,55.00002143
102,east_asia-geoglows_102,131.374838,55.00002143
103,east_asia-geoglows_103,131.6248376,55.00002143
104,east_asia-geoglows_104,131.8748373,55.00002143
105,east_asia-geoglows_105,132.124837,55.00002143
106,east_asia-geoglows_106,123.3748484,54.75002158
107,east_asia-geoglows_107,123.6248481,54.75002158
108,east_asia-geoglows_108,123.8748477,54.75002158
109,east_asia-geoglows_109,124.1248474,54.75002158
110,east_asia-geoglows_110,124.3748471,54.75002158
111,east_asia-geoglows_111,124.6248468,54.75002158
112,east_asia-geoglows_112,124.8748464,54.75002158
113,east_asia-geoglows_113,125.1248461,54.75002158
114,east_asia-geoglows_114,125.3748458,54.75002158
115,east_asia-geoglows_115,125.6248455,54.75002158
116,east_asia-geoglows_116,125.8748451,54.75002158
117,east_asia-geoglows_117,126.1248448,54.75002158
118,east_asia-geoglows_118,126.3748445,54.75002158
119,east_asia-geoglows_119,126.6248442,54.75002158
120,east_asia-geoglows_120,126.8748438,54.75002158
121,east_asia-geoglows_121,127.1248435,54.75002158
122,east_asia-geoglows_122,127.3748432,54.75002158
123,east_asia-geoglows_123,127.6248429,54.75002158
124,east_asia-geoglows_124,127.8748425,54.75002158
125,east_asia-geoglows_125,128.1248422,54.75002158
126,east_asia-geoglows_126,128.3748419,54.75002158
127,east_asia-geoglows_127,128.6248416,54.75002158
128,east_asia-geoglows_128,128.8748412,54.75002158
129,east_asia-geoglows_129,129.1248409,54.75002158
130,east_asia-geoglows_130,129.3748406,54.75002158
131,east_asia-geoglows_131,129.6248402,54.75002158
132,east_asia-geoglows_132,129.8748399,54.75002158
133,east_asia-geoglows_133,130.1248396,54.75002158
134,east_asia-geoglows_134,130.3748393,54.75002158
135,east_asia-geoglows_135,130.6248389,54.75002158
136,east_asia-geoglows_136,130.8748386,54.75002158
137,east_asia-geoglows_137,131.1248383,54.75002158
138,east_asia-geoglows_138,131.374838,54.75002158
139,east_asia-geoglows_139,117.6248559,54.50002173
140,east_asia-geoglows_140,118.1248553,54.50002173
141,east_asia-geoglows_141,122.3748497,54.50002173
142,east_asia-geoglows_142,122.6248494,54.50002173
143,east_asia-geoglows_143,122.8748491,54.50002173
144,east_asia-geoglows_144,123.1248487,54.50002173
145,east_asia-geoglows_145,123.3748484,54.50002173
146,east_asia-geoglows_146,123.6248481,54.50002173
147,east_asia-geoglows_147,123.8748477,54.50002173
148,east_asia-geoglows_148,124.1248474,54.50002173
149,east_asia-geoglows_149,124.3748471,54.50002173
150,east_asia-geoglows_150,124.6248468,54.50002173
