pointid,POINT,POINT_X,POINT_Y
1,europe-geoglows_1,28.12497265,59.75001853
2,europe-geoglows_2,28.624972,59.75001853
3,europe-geoglows_3,28.87497167,59.75001853
4,europe-geoglows_4,25.62497591,59.50001868
5,europe-geoglows_5,25.87497559,59.50001868
6,europe-geoglows_6,26.12497526,59.50001868
7,europe-geoglows_7,26.37497493,59.50001868
8,europe-geoglows_8,26.62497461,59.50001868
9,europe-geoglows_9,26.87497428,59.50001868
10,europe-geoglows_10,28.12497265,59.50001868
11,europe-geoglows_11,28.37497232,59.50001868
12,europe-geoglows_12,28.624972,59.50001868
13,europe-geoglows_13,28.87497167,59.50001868
14,europe-geoglows_14,29.12497135,59.50001868
15,europe-geoglows_15,29.37497102,59.50001868
16,europe-geoglows_16,29.62497069,59.50001868
17,europe-geoglows_17,29.87497037,59.50001868
18,europe-geoglows_18,30.12497004,59.50001868
19,europe-geoglows_19,30.37496972,59.50001868
20,europe-geoglows_20,30.62496939,59.50001868
21,europe-geoglows_21,23.87497819,59.25001883
22,europe-geoglows_22,24.12497787,59.25001883
23,europe-geoglows_23,24.37497754,59.25001883
24,europe-geoglows_24,24.62497722,59.25001883
25,europe-geoglows_25,24.87497689,59.25001883
26,europe-geoglows_26,25.12497656,59.25001883
27,europe-geoglows_27,25.37497624,59.25001883
28,europe-geoglows_28,25.62497591,59.25001883
29,europe-geoglows_29,25.87497559,59.25001883
30,europe-geoglows_30,26.12497526,59.25001883
31,europe-geoglows_31,26.37497493,59.25001883
32,europe-geoglows_32,26.62497461,59.25001883
33,europe-geoglows_33,26.87497428,59.25001883
34,europe-geoglows_34,27.12497396,59.25001883
35,europe-geoglows_35,27.37497363,59.25001883
36,europe-geoglows_36,27.6249733,59.25001883
37,europe-geoglows_37,27.87497298,59.25001883
38,europe-geoglows_38,28.12497265,59.25001883
39,europe-geoglows_39,28.37497232,59.25001883
40,europe-geoglows_40,28.624972,59.25001883
41,europe-geoglows_41,28.87497167,59.25001883
42,europe-geoglows_42,29.12497135,59.25001883
43,europe-geoglows_43,29.37497102,59.25001883
44,europe-geoglows_44,29.62497069,59.25001883
45,europe-geoglows_45,29.87497037,59.25001883
46,europe-geoglows_46,30.12497004,59.25001883
47,europe-geoglows_47,30.37496972,59.25001883
48,europe-geoglows_48,30.62496939,59.25001883
49,europe-geoglows_49,-3.124986585,59.00001899
50,europe-geoglows_50,14.87498993,59.00001899
51,europe-geoglows_51,15.12498961,59.00001899
52,europe-geoglows_52,22.62497983,59.00001899
53,europe-geoglows_53,22.8749795,59.00001899
54,europe-geoglows_54,23.87497819,59.00001899
55,europe-geoglows_55,24.12497787,59.00001899
56,europe-geoglows_56,24.37497754,59.00001899
57,europe-geoglows_57,24.62497722,59.00001899
58,europe-geoglows_58,24.87497689,59.00001899
59,europe-geoglows_59,25.12497656,59.00001899
60,europe-geoglows_60,25.37497624,59.00001899
61,europe-geoglows_61,25.62497591,59.00001899
62,europe-geoglows_62,25.87497559,59.00001899
63,europe-geoglows_63,26.12497526,59.00001899
64,europe-geoglows_64,26.37497493,59.00001899
65,europe-geoglows_65,26.62497461,59.00001899
66,europe-geoglows_66,26.87497428,59.00001899
67,europe-geoglows_67,27.12497396,59.00001899
68,europe-geoglows_68,27.37497363,59.00001899
69,europe-geoglows_69,27.6249733,59.00001899
70,europe-geoglows_70,27.87497298,59.00001899
71,europe-geoglows_71,28.12497265,59.00001899
72,europe-geoglows_72,28.37497232,59.00001899
73,europe-geoglows_73,28.624972,59.00001899
74,europe-geoglows_74,28.87497167,59.00001899
75,europe-geoglows_75,29.12497135,59.00001899
76,europe-geoglows_76,29.37497102,59.00001899
77,europe-geoglows_77,29.62497069,59.00001899
78,europe-geoglows_78,29.87497037,59.00001899
79,europe-geoglows_79,30.12497004,59.00001899
80,europe-geoglows_80,30.37496972,59.00001899
81,europe-geoglows_81,30.62496939,59.00001899
82,europe-geoglows_82,30.87496906,59.00001899
83,europe-geoglows_83,31.12496874,59.00001899
84,europe-geoglows_84,14.37499059,58.75001914
85,europe-geoglows_85,14.62499026,58.75001914
86,europe-geoglows_86,14.87498993,58.75001914
87,europe-geoglows_87,15.12498961,58.75001914
88,europe-geoglows_88,15.37498928,58.75001914
89,europe-geoglows_89,15.62498896,58.75001914
90,europe-geoglows_90,15.87498863,58.75001914
91,europe-geoglows_91,16.1249883,58.75001914
92,europe-geoglows_92,23.87497819,58.75001914
93,europe-geoglows_93,24.12497787,58.75001914
94,europe-geoglows_94,24.37497754,58.75001914
95,europe-geoglows_95,24.62497722,58.75001914
96,europe-geoglows_96,24.87497689,58.75001914
97,europe-geoglows_97,25.12497656,58.75001914
98,europe-geoglows_98,25.37497624,58.75001914
99,europe-geoglows_99,25.62497591,58.75001914
100,europe-geoglows_100,25.87497559,58.75001914
101,europe-geoglows_101,26.12497526,58.75001914
102,europe-geoglows_102,26.37497493,58.75001914
103,europe-geoglows_103,26.62497461,58.75001914
104,europe-geoglows_104,26.87497428,58.75001914
105,europe-geoglows_105,27.12497396,58.75001914
106,europe-geoglows_106,27.37497363,58.75001914
107,europe-geoglows_107,27.6249733,58.75001914
108,europe-geoglows_108,27.87497298,58.75001914
109,europe-geoglows_109,28.12497265,58.75001914
110,europe-geoglows_110,28.37497232,58.75001914
111,europe-geoglows_111,28.624972,58.75001914
112,europe-geoglows_112,28.87497167,58.75001914
113,europe-geoglows_113,29.12497135,58.75001914
114,europe-geoglows_114,29.37497102,58.75001914
115,europe-geoglows_115,29.62497069,58.75001914
116,europe-geoglows_116,29.87497037,58.75001914
117,europe-geoglows_117,30.12497004,58.75001914
118,europe-geoglows_118,30.37496972,58.75001914
119,europe-geoglows_119,30.62496939,58.75001914
120,europe-geoglows_120,30.87496906,58.75001914
121,europe-geoglows_121,-4.874984302,58.50001929
122,europe-geoglows_122,-4.624984628,58.50001929
123,europe-geoglows_123,-4.374984955,58.50001929
124,europe-geoglows_124,-4.124985281,58.50001929
125,europe-geoglows_125,-3.874985607,58.50001929
126,europe-geoglows_126,-3.624985933,58.50001929
127,europe-geoglows_127,-3.374986259,58.50001929
128,europe-geoglows_128,14.37499059,58.50001929
129,europe-geoglows_129,14.62499026,58.50001929
130,europe-geoglows_130,14.87498993,58.50001929
131,europe-geoglows_131,15.12498961,58.50001929
132,europe-geoglows_132,15.37498928,58.50001929
133,europe-geoglows_133,15.62498896,58.50001929
