pointid,POINT,POINT_X,POINT_Y
1,middle_east-geoglows_1,39.37495798,47.00002631
2,middle_east-geoglows_2,39.62495765,47.00002631
3,middle_east-geoglows_3,39.87495732,47.00002631
4,middle_east-geoglows_4,40.124957,47.00002631
5,middle_east-geoglows_5,40.37495667,47.00002631
6,middle_east-geoglows_6,38.87495863,46.75002646
7,middle_east-geoglows_7,39.1249583,46.75002646
8,middle_east-geoglows_8,39.37495798,46.75002646
9,middle_east-geoglows_9,39.62495765,46.75002646
10,middle_east-geoglows_10,39.87495732,46.75002646
11,middle_east-geoglows_11,40.124957,46.75002646
12,middle_east-geoglows_12,40.37495667,46.75002646
13,middle_east-geoglows_13,40.62495634,46.75002646
14,middle_east-geoglows_14,40.87495602,46.75002646
15,middle_east-geoglows_15,38.12495961,46.50002661
16,middle_east-geoglows_16,38.37495928,46.50002661
17,middle_east-geoglows_17,38.62495895,46.50002661
18,middle_east-geoglows_18,38.87495863,46.50002661
19,middle_east-geoglows_19,39.1249583,46.50002661
20,middle_east-geoglows_20,39.37495798,46.50002661
21,middle_east-geoglows_21,39.62495765,46.50002661
22,middle_east-geoglows_22,39.87495732,46.50002661
23,middle_east-geoglows_23,40.124957,46.50002661
24,middle_east-geoglows_24,40.37495667,46.50002661
25,middle_east-geoglows_25,40.62495634,46.50002661
26,middle_east-geoglows_26,38.37495928,46.25002676
27,middle_east-geoglows_27,38.62495895,46.25002676
28,middle_east-geoglows_28,38.87495863,46.25002676
29,middle_east-geoglows_29,39.1249583,46.25002676
30,middle_east-geoglows_30,39.37495798,46.25002676
31,middle_east-geoglows_31,39.62495765,46.25002676
32,middle_east-geoglows_32,39.87495732,46.25002676
33,middle_east-geoglows_33,40.124957,46.25002676
34,middle_east-geoglows_34,40.37495667,46.25002676
35,middle_east-geoglows_35,40.62495634,46.25002676
36,middle_east-geoglows_36,38.12495961,46.00002692
37,middle_east-geoglows_37,38.37495928,46.00002692
38,middle_east-geoglows_38,38.62495895,46.00002692
39,middle_east-geoglows_39,38.87495863,46.00002692
40,middle_east-geoglows_40,39.1249583,46.00002692
41,middle_east-geoglows_41,39.37495798,46.00002692
42,middle_east-geoglows_42,39.62495765,46.00002692
43,middle_east-geoglows_43,39.87495732,46.00002692
44,middle_east-geoglows_44,40.124957,46.00002692
45,middle_east-geoglows_45,40.37495667,46.00002692
46,middle_east-geoglows_46,40.62495634,46.00002692
47,middle_east-geoglows_47,37.87495993,45.75002707
48,middle_east-geoglows_48,38.12495961,45.75002707
49,middle_east-geoglows_49,38.37495928,45.75002707
50,middle_east-geoglows_50,38.62495895,45.75002707
51,middle_east-geoglows_51,38.87495863,45.75002707
52,middle_east-geoglows_52,39.1249583,45.75002707
53,middle_east-geoglows_53,39.37495798,45.75002707
54,middle_east-geoglows_54,39.62495765,45.75002707
55,middle_east-geoglows_55,39.87495732,45.75002707
56,middle_east-geoglows_56,40.124957,45.75002707
57,middle_east-geoglows_57,40.37495667,45.75002707
58,middle_east-geoglows_58,37.87495993,45.50002722
59,middle_east-geoglows_59,38.12495961,45.50002722
60,middle_east-geoglows_60,38.37495928,45.50002722
61,middle_east-geoglows_61,38.62495895,45.50002722
62,middle_east-geoglows_62,38.87495863,45.50002722
63,middle_east-geoglows_63,39.1249583,45.50002722
64,middle_east-geoglows_64,39.37495798,45.50002722
65,middle_east-geoglows_65,39.62495765,45.50002722
66,middle_east-geoglows_66,39.87495732,45.50002722
67,middle_east-geoglows_67,40.124957,45.50002722
68,middle_east-geoglows_68,40.37495667,45.50002722
69,middle_east-geoglows_69,40.62495634,45.50002722
70,middle_east-geoglows_70,40.87495602,45.50002722
71,middle_east-geoglows_71,37.12496091,45.25002737
72,middle_east-geoglows_72,37.37496058,45.25002737
