pointid,POINT,POINT_X,POINT_Y
1,north_america-geoglows_1,-136.6248124,59.75001853
2,north_america-geoglows_2,-136.3748128,59.75001853
3,north_america-geoglows_3,-136.1248131,59.75001853
4,north_america-geoglows_4,-135.8748134,59.75001853
5,north_america-geoglows_5,-135.6248137,59.75001853
6,north_america-geoglows_6,-77.12489006,59.75001853
7,north_america-geoglows_7,-76.87489038,59.75001853
8,north_america-geoglows_8,-71.37489756,59.75001853
9,north_america-geoglows_9,-71.12489788,59.75001853
10,north_america-geoglows_10,-70.87489821,59.75001853
11,north_america-geoglows_11,-70.62489853,59.75001853
12,north_america-geoglows_12,-70.37489886,59.75001853
13,north_america-geoglows_13,-70.12489919,59.75001853
14,north_america-geoglows_14,-69.87489951,59.75001853
15,north_america-geoglows_15,-65.37490538,59.75001853
16,north_america-geoglows_16,-65.12490571,59.75001853
17,north_america-geoglows_17,-64.87490603,59.75001853
18,north_america-geoglows_18,-64.62490636,59.75001853
19,north_america-geoglows_19,-64.37490669,59.75001853
20,north_america-geoglows_20,-64.12490701,59.75001853
21,north_america-geoglows_21,-136.6248124,59.50001868
22,north_america-geoglows_22,-136.3748128,59.50001868
23,north_america-geoglows_23,-136.1248131,59.50001868
24,north_america-geoglows_24,-135.8748134,59.50001868
25,north_america-geoglows_25,-135.6248137,59.50001868
26,north_america-geoglows_26,-135.1248144,59.50001868
27,north_america-geoglows_27,-132.374818,59.50001868
28,north_america-geoglows_28,-102.1248574,59.50001868
29,north_america-geoglows_29,-77.6248894,59.50001868
30,north_america-geoglows_30,-77.37488973,59.50001868
31,north_america-geoglows_31,-77.12489006,59.50001868
32,north_america-geoglows_32,-76.87489038,59.50001868
33,north_america-geoglows_33,-76.62489071,59.50001868
34,north_america-geoglows_34,-76.37489103,59.50001868
35,north_america-geoglows_35,-76.12489136,59.50001868
36,north_america-geoglows_36,-75.87489169,59.50001868
37,north_america-geoglows_37,-75.62489201,59.50001868
38,north_america-geoglows_38,-75.37489234,59.50001868
39,north_america-geoglows_39,-75.12489266,59.50001868
40,north_america-geoglows_40,-74.87489299,59.50001868
41,north_america-geoglows_41,-74.62489332,59.50001868
42,north_america-geoglows_42,-71.37489756,59.50001868
43,north_america-geoglows_43,-71.12489788,59.50001868
44,north_america-geoglows_44,-70.87489821,59.50001868
45,north_america-geoglows_45,-70.62489853,59.50001868
46,north_america-geoglows_46,-70.37489886,59.50001868
47,north_america-geoglows_47,-70.12489919,59.50001868
48,north_america-geoglows_48,-69.62489984,59.50001868
49,north_america-geoglows_49,-65.12490571,59.50001868
50,north_america-geoglows_50,-64.87490603,59.50001868
51,north_america-geoglows_51,-64.62490636,59.50001868
52,north_america-geoglows_52,-64.37490669,59.50001868
53,north_america-geoglows_53,-63.87490734,59.50001868
54,north_america-geoglows_54,-137.1248118,59.25001883
55,north_america-geoglows_55,-136.8748121,59.25001883
56,north_america-geoglows_56,-136.3748128,59.25001883
57,north_america-geoglows_57,-136.1248131,59.25001883
58,north_america-geoglows_58,-135.8748134,59.25001883
59,north_america-geoglows_59,-135.6248137,59.25001883
60,north_america-geoglows_60,-135.1248144,59.25001883
61,north_america-geoglows_61,-134.8748147,59.25001883
62,north_america-geoglows_62,-134.3748154,59.25001883
63,north_america-geoglows_63,-133.124817,59.25001883
64,north_america-geoglows_64,-132.8748173,59.25001883
65,north_america-geoglows_65,-132.6248177,59.25001883
66,north_america-geoglows_66,-132.374818,59.25001883
67,north_america-geoglows_67,-130.3748206,59.25001883
68,north_america-geoglows_68,-102.6248568,59.25001883
69,north_america-geoglows_69,-102.3748571,59.25001883
70,north_america-geoglows_70,-102.1248574,59.25001883
71,north_america-geoglows_71,-101.8748578,59.25001883
72,north_america-geoglows_72,-77.6248894,59.25001883
73,north_america-geoglows_73,-77.37488973,59.25001883
74,north_america-geoglows_74,-77.12489006,59.25001883
75,north_america-geoglows_75,-76.87489038,59.25001883
76,north_america-geoglows_76,-76.62489071,59.25001883
77,north_america-geoglows_77,-76.37489103,59.25001883
78,north_america-geoglows_78,-76.12489136,59.25001883
79,north_america-geoglows_79,-75.87489169,59.25001883
80,north_america-geoglows_80,-75.62489201,59.25001883
81,north_america-geoglows_81,-75.37489234,59.25001883
82,north_america-geoglows_82,-75.12489266,59.25001883
83,north_america-geoglows_83,-74.87489299,59.25001883
84,north_america-geoglows_84,-74.62489332,59.25001883
85,north_america-geoglows_85,-71.37489756,59.25001883
86,north_america-geoglows_86,-71.12489788,59.25001883
87,north_america-geoglows_87,-70.87489821,59.25001883
88,north_america-geoglows_88,-70.62489853,59.25001883
89,north_america-geoglows_89,-70.37489886,59.25001883
90,north_america-geoglows_90,-70.12489919,59.25001883
91,north_america-geoglows_91,-69.87489951,59.25001883
92,north_america-geoglows_92,-69.62489984,59.25001883
93,north_america-geoglows_93,-65.12490571,59.25001883
94,north_america-geoglows_94,-64.87490603,59.25001883
95,north_america-geoglows_95,-64.62490636,59.25001883
96,north_america-geoglows_96,-64.37490669,59.25001883
97,north_america-geoglows_97,-64.12490701,59.25001883
98,north_america-geoglows_98,-63.87490734,59.25001883
99,north_america-geoglows_99,-63.62490767,59.25001883
100,north_america-geoglows_100,-138.1248105,59.00001899
101,north_america-geoglows_101,-137.8748108,59.00001899
102,north_america-geoglows_102,-137.6248111,59.00001899
103,north_america-geoglows_103,-137.3748115,59.00001899
104,north_america-geoglows_104,-137.1248118,59.00001899
105,north_america-geoglows_105,-136.6248124,59.00001899
106,north_america-geoglows_106,-136.3748128,59.00001899
107,north_america-geoglows_107,-135.8748134,59.00001899
108,north_america-geoglows_108,-135.6248137,59.00001899
109,north_america-geoglows_109,-135.1248144,59.00001899
110,north_america-geoglows_110,-134.8748147,59.00001899
111,north_america-geoglows_111,-134.624815,59.00001899
112,north_america-geoglows_112,-133.874816,59.00001899
113,north_america-geoglows_113,-133.6248164,59.00001899
114,north_america-geoglows_114,-133.3748167,59.00001899
115,north_america-geoglows_115,-133.124817,59.00001899
116,north_america-geoglows_116,-132.8748173,59.00001899
117,north_america-geoglows_117,-132.6248177,59.00001899
118,north_america-geoglows_118,-132.374818,59.00001899
119,north_america-geoglows_119,-132.1248183,59.00001899
120,north_america-geoglows_120,-131.8748186,59.00001899
121,north_america-geoglows_121,-131.624819,59.00001899
122,north_america-geoglows_122,-130.8748199,59.00001899
123,north_america-geoglows_123,-130.6248203,59.00001899
124,north_america-geoglows_124,-103.1248561,59.00001899
125,north_america-geoglows_125,-102.8748565,59.00001899
126,north_america-geoglows_126,-102.6248568,59.00001899
127,north_america-geoglows_127,-102.3748571,59.00001899
128,north_america-geoglows_128,-102.1248574,59.00001899
129,north_america-geoglows_129,-101.8748578,59.00001899
130,north_america-geoglows_130,-101.6248581,59.00001899
131,north_america-geoglows_131,-101.3748584,59.00001899
132,north_america-geoglows_132,-94.8748669,59.00001899
133,north_america-geoglows_133,-78.12488875,59.00001899
134,north_america-geoglows_134,-77.87488908,59.00001899
135,north_america-geoglows_135,-77.6248894,59.00001899
