pointid,POINT,POINT_X,POINT_Y
1,south_america-geoglows_1,-71.62489723,12.2500475
2,south_america-geoglows_2,-71.37489756,12.2500475
3,south_america-geoglows_3,-72.12489658,12.00004766
4,south_america-geoglows_4,-71.8748969,12.00004766
5,south_america-geoglows_5,-71.62489723,12.00004766
6,south_america-geoglows_6,-71.37489756,12.00004766
7,south_america-geoglows_7,-71.12489788,12.00004766
8,south_america-geoglows_8,-70.12489919,12.00004766
9,south_america-geoglows_9,-72.37489625,11.75004781
10,south_america-geoglows_10,-72.12489658,11.75004781
11,south_america-geoglows_11,-71.8748969,11.75004781
12,south_america-geoglows_12,-71.37489756,11.75004781
13,south_america-geoglows_13,-70.12489919,11.75004781
14,south_america-geoglows_14,-72.8748956,11.50004796
15,south_america-geoglows_15,-72.62489593,11.50004796
16,south_america-geoglows_16,-72.37489625,11.50004796
17,south_america-geoglows_17,-72.12489658,11.50004796
18,south_america-geoglows_18,-69.87489951,11.50004796
19,south_america-geoglows_19,-69.12490049,11.50004796
20,south_america-geoglows_20,-74.12489397,11.25004811
21,south_america-geoglows_21,-73.62489462,11.25004811
22,south_america-geoglows_22,-73.37489495,11.25004811
23,south_america-geoglows_23,-73.12489527,11.25004811
24,south_america-geoglows_24,-72.8748956,11.25004811
25,south_america-geoglows_25,-72.62489593,11.25004811
26,south_america-geoglows_26,-72.37489625,11.25004811
27,south_america-geoglows_27,-72.12489658,11.25004811
28,south_america-geoglows_28,-70.37489886,11.25004811
29,south_america-geoglows_29,-70.12489919,11.25004811
30,south_america-geoglows_30,-69.87489951,11.25004811
31,south_america-geoglows_31,-69.62489984,11.25004811
32,south_america-geoglows_32,-69.37490016,11.25004811
33,south_america-geoglows_33,-69.12490049,11.25004811
34,south_america-geoglows_34,-68.87490082,11.25004811
35,south_america-geoglows_35,-68.62490114,11.25004811
36,south_america-geoglows_36,-74.87489299,11.00004827
37,south_america-geoglows_37,-74.62489332,11.00004827
38,south_america-geoglows_38,-74.12489397,11.00004827
39,south_america-geoglows_39,-73.87489429,11.00004827
40,south_america-geoglows_40,-73.62489462,11.00004827
41,south_america-geoglows_41,-73.37489495,11.00004827
42,south_america-geoglows_42,-73.12489527,11.00004827
43,south_america-geoglows_43,-72.8748956,11.00004827
44,south_america-geoglows_44,-72.62489593,11.00004827
45,south_america-geoglows_45,-72.37489625,11.00004827
46,south_america-geoglows_46,-72.12489658,11.00004827
47,south_america-geoglows_47,-71.8748969,11.00004827
48,south_america-geoglows_48,-71.12489788,11.00004827
49,south_america-geoglows_49,-70.87489821,11.00004827
50,south_america-geoglows_50,-70.62489853,11.00004827
51,south_america-geoglows_51,-70.37489886,11.00004827
52,south_america-geoglows_52,-70.12489919,11.00004827
53,south_america-geoglows_53,-69.87489951,11.00004827
54,south_america-geoglows_54,-69.62489984,11.00004827
55,south_america-geoglows_55,-69.37490016,11.00004827
56,south_america-geoglows_56,-69.12490049,11.00004827
57,south_america-geoglows_57,-68.87490082,11.00004827
58,south_america-geoglows_58,-68.62490114,11.00004827
59,south_america-geoglows_59,-68.37490147,11.00004827
60,south_america-geoglows_60,-63.87490734,11.00004827
61,south_america-geoglows_61,-75.12489266,10.75004842
62,south_america-geoglows_62,-74.87489299,10.75004842
63,south_america-geoglows_63,-74.62489332,10.75004842
64,south_america-geoglows_64,-74.37489364,10.75004842
65,south_america-geoglows_65,-74.12489397,10.75004842
66,south_america-geoglows_66,-73.87489429,10.75004842
67,south_america-geoglows_67,-73.62489462,10.75004842
68,south_america-geoglows_68,-73.37489495,10.75004842
69,south_america-geoglows_69,-73.12489527,10.75004842
70,south_america-geoglows_70,-72.8748956,10.75004842
71,south_america-geoglows_71,-72.62489593,10.75004842
72,south_america-geoglows_72,-72.37489625,10.75004842
73,south_america-geoglows_73,-72.12489658,10.75004842
74,south_america-geoglows_74,-71.8748969,10.75004842
75,south_america-geoglows_75,-71.37489756,10.75004842
76,south_america-geoglows_76,-71.12489788,10.75004842
77,south_america-geoglows_77,-70.87489821,10.75004842
78,south_america-geoglows_78,-70.62489853,10.75004842
79,south_america-geoglows_79,-70.37489886,10.75004842
80,south_america-geoglows_80,-70.12489919,10.75004842
81,south_america-geoglows_81,-69.87489951,10.75004842
82,south_america-geoglows_82,-69.62489984,10.75004842
83,south_america-geoglows_83,-69.37490016,10.75004842
84,south_america-geoglows_84,-69.12490049,10.75004842
85,south_america-geoglows_85,-68.87490082,10.75004842
86,south_america-geoglows_86,-68.62490114,10.75004842
87,south_america-geoglows_87,-68.37490147,10.75004842
88,south_america-geoglows_88,-68.1249018,10.75004842
89,south_america-geoglows_89,-61.3749106,10.75004842
90,south_america-geoglows_90,-61.12491093,10.75004842
91,south_america-geoglows_91,-75.37489234,10.50004857
92,south_america-geoglows_92,-75.12489266,10.50004857
93,south_america-geoglows_93,-74.87489299,10.50004857
94,south_america-geoglows_94,-74.62489332,10.50004857
95,south_america-geoglows_95,-74.37489364,10.50004857
96,south_america-geoglows_96,-74.12489397,10.50004857
97,south_america-geoglows_97,-73.87489429,10.50004857
98,south_america-geoglows_98,-73.62489462,10.50004857
99,south_america-geoglows_99,-73.37489495,10.50004857
100,south_america-geoglows_100,-73.12489527,10.50004857
101,south_america-geoglows_101,-72.8748956,10.50004857
102,south_america-geoglows_102,-72.62489593,10.50004857
103,south_america-geoglows_103,-72.37489625,10.50004857
104,south_america-geoglows_104,-72.12489658,10.50004857
105,south_america-geoglows_105,-71.8748969,10.50004857
106,south_america-geoglows_106,-71.62489723,10.50004857
107,south_america-geoglows_107,-71.37489756,10.50004857
108,south_america-geoglows_108,-71.12489788,10.50004857
109,south_america-geoglows_109,-70.87489821,10.50004857
110,south_america-geoglows_110,-70.62489853,10.50004857
