pointid,POINT,POINT_X,POINT_Y
1,south_asia-geoglows_1,74.62491199,37.00003241
2,south_asia-geoglows_2,75.12491134,37.00003241
3,south_asia-geoglows_3,72.37491493,36.75003256
4,south_asia-geoglows_4,72.6249146,36.75003256
5,south_asia-geoglows_5,72.87491428,36.75003256
6,south_asia-geoglows_6,73.12491395,36.75003256
7,south_asia-geoglows_7,73.37491362,36.75003256
8,south_asia-geoglows_8,73.6249133,36.75003256
9,south_asia-geoglows_9,73.87491297,36.75003256
10,south_asia-geoglows_10,74.12491265,36.75003256
11,south_asia-geoglows_11,74.37491232,36.75003256
12,south_asia-geoglows_12,74.62491199,36.75003256
13,south_asia-geoglows_13,74.87491167,36.75003256
14,south_asia-geoglows_14,75.12491134,36.75003256
15,south_asia-geoglows_15,75.37491102,36.75003256
16,south_asia-geoglows_16,71.87491558,36.50003271
17,south_asia-geoglows_17,72.12491525,36.50003271
18,south_asia-geoglows_18,72.37491493,36.50003271
19,south_asia-geoglows_19,72.6249146,36.50003271
20,south_asia-geoglows_20,72.87491428,36.50003271
21,south_asia-geoglows_21,73.12491395,36.50003271
22,south_asia-geoglows_22,73.37491362,36.50003271
23,south_asia-geoglows_23,73.6249133,36.50003271
24,south_asia-geoglows_24,73.87491297,36.50003271
25,south_asia-geoglows_25,74.12491265,36.50003271
26,south_asia-geoglows_26,74.37491232,36.50003271
27,south_asia-geoglows_27,74.62491199,36.50003271
28,south_asia-geoglows_28,74.87491167,36.50003271
29,south_asia-geoglows_29,75.12491134,36.50003271
30,south_asia-geoglows_30,75.37491102,36.50003271
31,south_asia-geoglows_31,75.62491069,36.50003271
32,south_asia-geoglows_32,71.62491591,36.25003286
33,south_asia-geoglows_33,71.87491558,36.25003286
34,south_asia-geoglows_34,72.12491525,36.25003286
35,south_asia-geoglows_35,72.37491493,36.25003286
36,south_asia-geoglows_36,72.6249146,36.25003286
37,south_asia-geoglows_37,72.87491428,36.25003286
38,south_asia-geoglows_38,73.12491395,36.25003286
39,south_asia-geoglows_39,73.37491362,36.25003286
40,south_asia-geoglows_40,73.6249133,36.25003286
41,south_asia-geoglows_41,73.87491297,36.25003286
42,south_asia-geoglows_42,74.12491265,36.25003286
43,south_asia-geoglows_43,74.37491232,36.25003286
44,south_asia-geoglows_44,74.62491199,36.25003286
45,south_asia-geoglows_45,74.87491167,36.25003286
46,south_asia-geoglows_46,75.12491134,36.25003286
47,south_asia-geoglows_47,75.37491102,36.25003286
48,south_asia-geoglows_48,75.62491069,36.25003286
49,south_asia-geoglows_49,71.37491623,36.00003302
50,south_asia-geoglows_50,71.62491591,36.00003302
51,south_asia-geoglows_51,71.87491558,36.00003302
52,south_asia-geoglows_52,72.12491525,36.00003302
53,south_asia-geoglows_53,72.37491493,36.00003302
54,south_asia-geoglows_54,72.6249146,36.00003302
55,south_asia-geoglows_55,72.87491428,36.00003302
56,south_asia-geoglows_56,73.12491395,36.00003302
57,south_asia-geoglows_57,73.37491362,36.00003302
58,south_asia-geoglows_58,73.6249133,36.00003302
59,south_asia-geoglows_59,73.87491297,36.00003302
60,south_asia-geoglows_60,74.12491265,36.00003302
61,south_asia-geoglows_61,74.37491232,36.00003302
62,south_asia-geoglows_62,74.62491199,36.00003302
63,south_asia-geoglows_63,74.87491167,36.00003302
64,south_asia-geoglows_64,75.12491134,36.00003302
65,south_asia-geoglows_65,75.37491102,36.00003302
66,south_asia-geoglows_66,75.62491069,36.00003302
67,south_asia-geoglows_67,75.87491036,36.00003302
68,south_asia-geoglows_68,70.12491786,35.75003317
69,south_asia-geoglows_69,71.12491656,35.75003317
70,south_asia-geoglows_70,71.37491623,35.75003317
71,south_asia-geoglows_71,71.62491591,35.75003317
72,south_asia-geoglows_72,71.87491558,35.75003317
73,south_asia-geoglows_73,72.12491525,35.75003317
74,south_asia-geoglows_74,72.37491493,35.75003317
75,south_asia-geoglows_75,72.6249146,35.75003317
76,south_asia-geoglows_76,72.87491428,35.75003317
77,south_asia-geoglows_77,73.12491395,35.75003317
78,south_asia-geoglows_78,73.37491362,35.75003317
79,south_asia-geoglows_79,73.6249133,35.75003317
80,south_asia-geoglows_80,73.87491297,35.75003317
81,south_asia-geoglows_81,74.12491265,35.75003317
82,south_asia-geoglows_82,74.37491232,35.75003317
83,south_asia-geoglows_83,74.62491199,35.75003317
84,south_asia-geoglows_84,74.87491167,35.75003317
85,south_asia-geoglows_85,75.12491134,35.75003317
86,south_asia-geoglows_86,75.37491102,35.75003317
87,south_asia-geoglows_87,75.62491069,35.75003317
88,south_asia-geoglows_88,75.87491036,35.75003317
89,south_asia-geoglows_89,76.12491004,35.75003317
90,south_asia-geoglows_90,76.37490971,35.75003317
91,south_asia-geoglows_91,76.62490938,35.75003317
92,south_asia-geoglows_92,69.87491819,35.50003332
93,south_asia-geoglows_93,70.12491786,35.50003332
94,south_asia-geoglows_94,70.37491754,35.50003332
95,south_asia-geoglows_95,70.87491689,35.50003332
96,south_asia-geoglows_96,71.12491656,35.50003332
97,south_asia-geoglows_97,71.37491623,35.50003332
98,south_asia-geoglows_98,71.62491591,35.50003332
99,south_asia-geoglows_99,71.87491558,35.50003332
100,south_asia-geoglows_100,72.12491525,35.50003332
101,south_asia-geoglows_101,72.37491493,35.50003332
102,south_asia-geoglows_102,72.6249146,35.50003332
103,south_asia-geoglows_103,72.87491428,35.50003332
104,south_asia-geoglows_104,73.12491395,35.50003332
105,south_asia-geoglows_105,73.37491362,35.50003332
106,south_asia-geoglows_106,73.6249133,35.50003332
107,south_asia-geoglows_107,73.87491297,35.50003332
108,south_asia-geoglows_108,74.12491265,35.50003332
109,south_asia-geoglows_109,74.37491232,35.50003332
110,south_asia-geoglows_110,74.62491199,35.50003332
111,south_asia-geoglows_111,74.87491167,35.50003332
112,south_asia-geoglows_112,75.12491134,35.50003332
113,south_asia-geoglows_113,75.37491102,35.50003332
114,south_asia-geoglows_114,75.62491069,35.50003332
115,south_asia-geoglows_115,75.87491036,35.50003332
116,south_asia-geoglows_116,76.12491004,35.50003332
117,south_asia-geoglows_117,76.37490971,35.50003332
118,south_asia-geoglows_118,76.62490938,35.50003332
119,south_asia-geoglows_119,76.87490906,35.50003332
120,south_asia-geoglows_120,77.12490873,35.50003332
121,south_asia-geoglows_121,77.37490841,35.50003332
122,south_asia-geoglows_122,77.87490775,35.50003332
123,south_asia-geoglows_123,78.12490743,35.50003332
124,south_asia-geoglows_124,68.87491949,35.25003347
125,south_asia-geoglows_125,69.12491917,35.25003347
126,south_asia-geoglows_126,69.37491884,35.25003347
127,south_asia-geoglows_127,69.62491852,35.25003347
128,south_asia-geoglows_128,69.87491819,35.25003347
129,south_asia-geoglows_129,70.12491786,35.25003347
130,south_asia-geoglows_130,70.37491754,35.25003347
131,south_asia-geoglows_131,70.62491721,35.25003347
132,south_asia-geoglows_132,70.87491689,35.25003347
133,south_asia-geoglows_133,71.12491656,35.25003347
134,south_asia-geoglows_134,71.37491623,35.25003347
135,south_asia-geoglows_135,71.62491591,35.25003347
136,south_asia-geoglows_136,71.87491558,35.25003347
137,south_asia-geoglows_137,72.12491525,35.25003347
138,south_asia-geoglows_138,72.37491493,35.25003347
139,south_asia-geoglows_139,72.6249146,35.25003347
140,south_asia-geoglows_140,72.87491428,35.25003347
141,south_asia-geoglows_141,73.12491395,35.25003347
142,south_asia-geoglows_142,73.37491362,35.25003347
143,south_asia-geoglows_143,73.6249133,35.25003347
144,south_asia-geoglows_144,73.87491297,35.25003347
145,south_asia-geoglows_145,74.12491265,35.25003347
146,south_asia-geoglows_146,74.37491232,35.25003347
147,south_asia-geoglows_147,74.62491199,35.25003347
148,south_asia-geoglows_148,74.87491167,35.25003347
149,south_asia-geoglows_149,75.12491134,35.25003347
150,south_asia-geoglows_150,75.37491102,35.25003347
151,south_asia-geoglows_151,75.62491069,35.25003347
152,south_asia-geoglows_152,75.87491036,35.25003347
153,south_asia-geoglows_153,76.12491004,35.25003347
154,south_asia-geoglows_154,76.37490971,35.25003347
155,south_asia-geoglows_155,76.62490938,35.25003347
156,south_asia-geoglows_156,76.87490906,35.25003347
157,south_asia-geoglows_157,77.12490873,35.25003347
158,south_asia-geoglows_158,77.37490841,35.25003347
159,south_asia-geoglows_159,77.62490808,35.25003347
160,south_asia-geoglows_160,77.87490775,35.25003347
161,south_asia-geoglows_161,78.12490743,35.25003347
162,south_asia-geoglows_162,68.37492015,35.00003363
163,south_asia-geoglows_163,68.62491982,35.00003363
164,south_asia-geoglows_164,68.87491949,35.00003363
165,south_asia-geoglows_165,69.12491917,35.00003363
166,south_asia-geoglows_166,69.37491884,35.00003363
167,south_asia-geoglows_167,69.62491852,35.00003363
168,south_asia-geoglows_168,69.87491819,35.00003363
169,south_asia-geoglows_169,70.12491786,35.00003363
170,south_asia-geoglows_170,70.37491754,35.00003363
171,south_asia-geoglows_171,70.62491721,35.00003363
172,south_asia-geoglows_172,70.87491689,35.00003363
173,south_asia-geoglows_173,71.12491656,35.00003363
174,south_asia-geoglows_174,71.37491623,35.00003363
175,south_asia-geoglows_175,71.62491591,35.00003363
176,south_asia-geoglows_176,71.87491558,35.00003363
177,south_asia-geoglows_177,72.12491525,35.00003363
178,south_asia-geoglows_178,72.37491493,35.00003363
179,south_asia-geoglows_179,72.6249146,35.00003363
180,south_asia-geoglows_180,72.87491428,35.00003363
181,south_asia-geoglows_181,73.12491395,35.00003363
182,south_asia-geoglows_182,73.37491362,35.00003363
183,south_asia-geoglows_183,73.6249133,35.00003363
184,south_asia-geoglows_184,73.87491297,35.00003363
