pointid,POINT,POINT_X,POINT_Y
1,west_asia-geoglows_1,34.87496385,59.75001853
2,west_asia-geoglows_2,35.12496352,59.75001853
3,west_asia-geoglows_3,35.37496319,59.75001853
4,west_asia-geoglows_4,35.62496287,59.75001853
5,west_asia-geoglows_5,35.87496254,59.75001853
6,west_asia-geoglows_6,36.12496222,59.75001853
7,west_asia-geoglows_7,36.37496189,59.75001853
8,west_asia-geoglows_8,36.62496156,59.75001853
9,west_asia-geoglows_9,36.87496124,59.75001853
10,west_asia-geoglows_10,37.12496091,59.75001853
11,west_asia-geoglows_11,37.37496058,59.75001853
12,west_asia-geoglows_12,37.62496026,59.75001853
13,west_asia-geoglows_13,38.12495961,59.75001853
14,west_asia-geoglows_14,38.37495928,59.75001853
15,west_asia-geoglows_15,38.62495895,59.75001853
16,west_asia-geoglows_16,38.87495863,59.75001853
17,west_asia-geoglows_17,39.1249583,59.75001853
18,west_asia-geoglows_18,44.12495178,59.75001853
19,west_asia-geoglows_19,44.37495145,59.75001853
20,west_asia-geoglows_20,44.62495113,59.75001853
21,west_asia-geoglows_21,44.8749508,59.75001853
22,west_asia-geoglows_22,47.12494787,59.75001853
23,west_asia-geoglows_23,47.37494754,59.75001853
24,west_asia-geoglows_24,47.62494721,59.75001853
25,west_asia-geoglows_25,47.87494689,59.75001853
26,west_asia-geoglows_26,48.12494656,59.75001853
27,west_asia-geoglows_27,49.6249446,59.75001853
28,west_asia-geoglows_28,49.87494428,59.75001853
29,west_asia-geoglows_29,50.12494395,59.75001853
30,west_asia-geoglows_30,50.37494363,59.75001853
31,west_asia-geoglows_31,50.6249433,59.75001853
32,west_asia-geoglows_32,50.87494297,59.75001853
33,west_asia-geoglows_33,51.12494265,59.75001853
34,west_asia-geoglows_34,51.37494232,59.75001853
35,west_asia-geoglows_35,51.624942,59.75001853
36,west_asia-geoglows_36,56.12493613,59.75001853
37,west_asia-geoglows_37,56.3749358,59.75001853
38,west_asia-geoglows_38,56.62493547,59.75001853
39,west_asia-geoglows_39,56.87493515,59.75001853
40,west_asia-geoglows_40,57.87493384,59.75001853
41,west_asia-geoglows_41,58.12493352,59.75001853
42,west_asia-geoglows_42,58.37493319,59.75001853
43,west_asia-geoglows_43,58.62493286,59.75001853
44,west_asia-geoglows_44,58.87493254,59.75001853
45,west_asia-geoglows_45,34.62496417,59.50001868
46,west_asia-geoglows_46,34.87496385,59.50001868
47,west_asia-geoglows_47,35.12496352,59.50001868
48,west_asia-geoglows_48,35.37496319,59.50001868
49,west_asia-geoglows_49,35.62496287,59.50001868
50,west_asia-geoglows_50,35.87496254,59.50001868
51,west_asia-geoglows_51,36.12496222,59.50001868
52,west_asia-geoglows_52,36.37496189,59.50001868
53,west_asia-geoglows_53,36.62496156,59.50001868
54,west_asia-geoglows_54,36.87496124,59.50001868
55,west_asia-geoglows_55,37.12496091,59.50001868
56,west_asia-geoglows_56,37.37496058,59.50001868
57,west_asia-geoglows_57,37.62496026,59.50001868
58,west_asia-geoglows_58,37.87495993,59.50001868
59,west_asia-geoglows_59,38.12495961,59.50001868
60,west_asia-geoglows_60,38.37495928,59.50001868
61,west_asia-geoglows_61,38.62495895,59.50001868
62,west_asia-geoglows_62,43.37495276,59.50001868
63,west_asia-geoglows_63,43.62495243,59.50001868
64,west_asia-geoglows_64,43.87495211,59.50001868
65,west_asia-geoglows_65,44.12495178,59.50001868
66,west_asia-geoglows_66,44.37495145,59.50001868
67,west_asia-geoglows_67,44.62495113,59.50001868
68,west_asia-geoglows_68,44.8749508,59.50001868
69,west_asia-geoglows_69,45.12495047,59.50001868
70,west_asia-geoglows_70,46.37494884,59.50001868
71,west_asia-geoglows_71,46.62494852,59.50001868
72,west_asia-geoglows_72,46.87494819,59.50001868
73,west_asia-geoglows_73,47.12494787,59.50001868
74,west_asia-geoglows_74,47.37494754,59.50001868
75,west_asia-geoglows_75,47.62494721,59.50001868
76,west_asia-geoglows_76,47.87494689,59.50001868
77,west_asia-geoglows_77,48.12494656,59.50001868
78,west_asia-geoglows_78,48.37494624,59.50001868
79,west_asia-geoglows_79,48.62494591,59.50001868
80,west_asia-geoglows_80,48.87494558,59.50001868
81,west_asia-geoglows_81,49.12494526,59.50001868
82,west_asia-geoglows_82,49.37494493,59.50001868
83,west_asia-geoglows_83,49.6249446,59.50001868
84,west_asia-geoglows_84,49.87494428,59.50001868
85,west_asia-geoglows_85,50.12494395,59.50001868
86,west_asia-geoglows_86,50.37494363,59.50001868
87,west_asia-geoglows_87,50.6249433,59.50001868
88,west_asia-geoglows_88,50.87494297,59.50001868
89,west_asia-geoglows_89,51.12494265,59.50001868
90,west_asia-geoglows_90,51.37494232,59.50001868
91,west_asia-geoglows_91,51.624942,59.50001868
92,west_asia-geoglows_92,51.87494167,59.50001868
93,west_asia-geoglows_93,52.12494134,59.50001868
94,west_asia-geoglows_94,55.3749371,59.50001868
95,west_asia-geoglows_95,55.62493678,59.50001868
96,west_asia-geoglows_96,55.87493645,59.50001868
97,west_asia-geoglows_97,56.12493613,59.50001868
98,west_asia-geoglows_98,56.3749358,59.50001868
99,west_asia-geoglows_99,56.62493547,59.50001868
100,west_asia-geoglows_100,56.87493515,59.50001868
101,west_asia-geoglows_101,57.3749345,59.50001868
102,west_asia-geoglows_102,57.62493417,59.50001868
103,west_asia-geoglows_103,57.87493384,59.50001868
104,west_asia-geoglows_104,58.12493352,59.50001868
105,west_asia-geoglows_105,58.37493319,59.50001868
106,west_asia-geoglows_106,58.62493286,59.50001868
107,west_asia-geoglows_107,58.87493254,59.50001868
108,west_asia-geoglows_108,34.3749645,59.25001883
109,west_asia-geoglows_109,34.62496417,59.25001883
110,west_asia-geoglows_110,34.87496385,59.25001883
111,west_asia-geoglows_111,35.12496352,59.25001883
